LoanRange,BusinessName,State,Jobs,Date
a $5-10 million,AIRROSTI,TX,0,5/6/20
a $5-10 million,"ALAMO PRESSURE PUMPING, LLC",TX,0,4/8/20
a $5-10 million,CHAAC PIZZA NORTHEAST,TX,0,4/30/20
a $5-10 million,"ETHOS GROUP RESOURCES, INC.",TX,0,4/8/20
a $5-10 million,GULF STATE ENGINEERING COMPANY,TX,0,4/8/20
a $5-10 million,HEMPEL USA INC,TX,0,5/4/20
a $5-10 million,"OPTIMUS STEEL, LLC",TX,0,4/7/20
a $5-10 million,"OTG MANAGEMENT IAH, LLC",TX,0,4/28/20
a $5-10 million,"PERRY&#39;S RESTAURANTS, LTD.",TX,0,4/6/20
a $5-10 million,"RECARO AIRCRAFT SEATING AMERICAS, LLC",TX,0,4/30/20
a $5-10 million,"RIGAKU AMERICAS HOLDING, INC",TX,0,5/19/20
a $5-10 million,SIGNAL PEAK SILICA LLC,TX,0,4/29/20
a $5-10 million,"TEXAS FUELING SERVICES, INC.",TX,0,4/13/20
a $5-10 million,WAYLAND BAPTIST UNIVERSITY,TX,0,4/28/20
a $5-10 million,2020 COMMUNICATIONS INC,TX,0,5/3/20
a $5-10 million,ARNOLD TRANSPORTATION SERVICES INC,TX,0,4/28/20
a $5-10 million,BASTION TECHNOLOGIES INC,TX,0,5/3/20
a $5-10 million,CLASSIC CHEVROLET INC.,TX,0,4/10/20
a $5-10 million,CORE PERSONNEL STAFFING SERVICES LLC,TX,0,6/3/20
a $5-10 million,GP MOBILE 2 LLC,TX,0,4/10/20
a $5-10 million,KEYSTONE CONSOLIDATED INDUSTRIES INC,TX,0,5/3/20
a $5-10 million,"LUPE HOLDINGS, LP",TX,0,4/14/20
a $5-10 million,PETROLEUM GEO-SERVICES INC.,TX,0,5/28/20
a $5-10 million,SELECT TEMPORARIES,TX,0,5/3/20
a $5-10 million,SOFTTEK INTEGRATION SYSTEMS INC,TX,0,5/3/20
a $5-10 million,SOLUTIONS SHARED SERVICES,TX,0,5/3/20
a $5-10 million,"STAGG RESTAURANTS, LLC",TX,0,4/14/20
b $2-5 million,"A. L. HELMCAMP, INC",TX,0,4/8/20
b $2-5 million,AGGIETECH ENERGY SERVICES LLC,TX,0,4/9/20
b $2-5 million,"ALL COMMERCIAL FLOORS, INC.",TX,0,4/9/20
b $2-5 million,"AMERI-FAB, LLC",TX,0,4/7/20
b $2-5 million,ARTCO-BELL CORPORATION,TX,0,4/6/20
b $2-5 million,BANDERA ELECTRIC COOPERATIVE,TX,0,5/14/20
b $2-5 million,"BANDON FITNESS (TEXAS), INC.",TX,0,4/12/20
b $2-5 million,"BELLICUM PHARMACEUTICALS, INC.",TX,0,4/30/20
b $2-5 million,"BROTHERS PRODUCE OF DALLAS, INC",TX,0,4/30/20
b $2-5 million,CENTRAL TEXAS LATH & PLASTER LP,TX,0,4/10/20
b $2-5 million,"COSTAR TECHNOLOGIES, INC.",TX,0,4/7/20
b $2-5 million,"DA DEFENSE LOGISTICS HQ, LLC",TX,0,4/9/20
b $2-5 million,"DALLAS WHOLESALE BUILDERS SUPPLY, INC.",TX,0,4/8/20
b $2-5 million,"DAYBREAK  THERAPY, L.L.C.",TX,0,4/27/20
b $2-5 million,"DAYBREAK  VENTURE, L.L.C.",TX,0,4/27/20
b $2-5 million,"DFW LAKES OWNER, LLC",TX,0,4/11/20
b $2-5 million,"EPSI, INC.",TX,0,4/30/20
b $2-5 million,FCS CONSTRUCTION LP,TX,0,4/5/20
b $2-5 million,"FRUIT OF THE EARTH, INC.",TX,0,4/28/20
b $2-5 million,GRACO FISHING & RENTAL TOOLS,TX,0,4/7/20
b $2-5 million,"GRADY RENTALS, LLC",TX,0,4/6/20
b $2-5 million,IMPACT FLOORS OF TEXAS LP,TX,0,4/6/20
b $2-5 million,INNOVATIVE HEAT TREATMENT SOLUTIONS,TX,0,5/1/20
b $2-5 million,"INTERFLEX PAYMENTS, LLC",TX,0,4/7/20
b $2-5 million,INTERNATIONAL RISK MANAGEMENT INSTITUTE INC,TX,0,4/14/20
b $2-5 million,"INVESTIGATIVE HOLDINGS, LLC",TX,0,4/10/20
b $2-5 million,JDS CONTRACTORS LLC,TX,0,4/7/20
b $2-5 million,KANE RUSSELL COLEMAN LOGAN PC,TX,0,4/7/20
b $2-5 million,KGZ LLC,TX,0,6/27/20
b $2-5 million,"KIOLBASSA PROVISION COMPANY, INC.",TX,0,4/6/20
b $2-5 million,LAKES REGIONAL MHMR CENTER,TX,0,4/28/20
b $2-5 million,"LANDMARK STRUCTURES 1, LP",TX,0,4/30/20
b $2-5 million,"LINE QUEST, LLC",TX,0,4/10/20
b $2-5 million,LOAD TRAIL LLC,TX,0,4/28/20
b $2-5 million,"MESA MECHANICAL, INC.",TX,0,4/10/20
b $2-5 million,MILITARY SALES & SERVICE CO,TX,0,4/10/20
b $2-5 million,MOCKINGBIRD PHARMA LLC,TX,0,5/18/20
b $2-5 million,MORNING MINISTRIES,TX,0,4/7/20
b $2-5 million,"MUNCK WILSON MANDALA, LLP",TX,0,4/10/20
b $2-5 million,NASHVILLE PIZZA GROUP,TX,0,4/29/20
b $2-5 million,"NEORA, LLC",TX,0,4/8/20
b $2-5 million,NITROGEN SERVICES LLC,TX,0,4/29/20
